ITERATIONS, Q-LEARNING, ASTAR,BFS,DFS
1, 7.55 ,-15.0097282, -9.303585199999999, -132.86799175,
2, 8.97, -12.9353588, -10.268550000000001, -133.90585325,
3, 8.53, -11.8711989, -9.606619299999998, -127.08677670000002, 
4, 9.27, -14.9253912, -11.369518699999986, -139.2922843000001,
5, 7.10, -14.519462, -8.252406300000004, -132.15475130000004,
6, 7.35, -10.9267089, -10.656564199999998, -134.90347649999995,
7, 7.50, -13.5173016, -7.4262602000000015, -105.38607560000008,
8, 8.32, -11.0560732, -11.391594300000001,-173.8992255,
9, 6.90, -14.3717548, -10.177732899999995, -171.77761769999998
10, 7.55, -13.969235600000001, -9.05355449999999, 125.85867892020,